,pitch_complexity
output/sonata08-1_fragment_0.musicxml,5.259323483783036
output/sonata01-1_fragment_5.musicxml,1.3606237816764133
output/sonata23-1_fragment_18.musicxml,1.0634960789273968
output/sonata21-4_fragment_11.musicxml,1.4274193548387095
output/sonata08-1_fragment_37.musicxml,1.3218181818181818
output/sonata27-2_fragment_43.musicxml,2.746753246753247
output/sonata31-2_fragment_34.musicxml,0.7905982905982906
output/sonata21-1_fragment_7.musicxml,2.7557471264367814
output/sonata13-4_fragment_31.musicxml,2.782608695652174
output/sonata29-4_fragment_79.musicxml,1.991394148020654
output/sonata21-4_fragment_16.musicxml,3.114705882352941
output/sonata04-1_fragment_20.musicxml,0.6803664697319975
output/sonata05-1_fragment_12.musicxml,0.8333333333333333
output/sonata03-4_fragment_53.musicxml,2.5727272727272728
output/sonata10-3_fragment_37.musicxml,5.4444444444444455
output/sonata24-2_fragment_1.musicxml,2.437246963562753
output/sonata29-3_fragment_35.musicxml,4.00515996650548
output/sonata17-3_fragment_8.musicxml,3.1515151515151514
output/sonata06-3_fragment_19.musicxml,1.8728070175438596
output/sonata30-2_fragment_26.musicxml,0.9166666666666667
output/sonata15-2_fragment_6.musicxml,6.069873417721517
output/sonata09-3_fragment_21.musicxml,2.3666666666666667
output/sonata13-1_fragment_20.musicxml,1.7935540069686409
output/sonata07-1_fragment_43.musicxml,1.5
output/sonata17-3_fragment_72.musicxml,4.0
output/sonata15-4_fragment_48.musicxml,3.344927536231884
output/sonata18-1_fragment_13.musicxml,3.3333333333333326
output/sonata01-4_fragment_31.musicxml,0.6798245614035088
output/sonata20-2_fragment_20.musicxml,2.090909090909091
output/sonata15-2_fragment_4.musicxml,3.473684210526316
output/sonata02-1_fragment_25.musicxml,1.625
output/sonata11-1_fragment_3.musicxml,1.3180147058823528
output/sonata22-2_fragment_33.musicxml,3.1333333333333333
output/sonata26-3_fragment_21.musicxml,2.311355311355311
output/sonata24-1_fragment_24.musicxml,3.6795918367346943
output/sonata14-3_fragment_7.musicxml,2.75
output/sonata02-1_fragment_34.musicxml,2.7908496732026142
output/sonata17-1_fragment_9.musicxml,1.6421052631578945
output/sonata19-2_fragment_34.musicxml,2.1764705882352944
output/sonata05-3_fragment_10.musicxml,2.664835164835165
output/sonata07-2_fragment_5.musicxml,1.0410958904109588
output/sonata32-2_fragment_3.musicxml,2.3320561941251596
output/sonata12-1_fragment_36.musicxml,3.815217391304348
output/sonata26-3_fragment_8.musicxml,5.282894736842106
output/sonata24-2_fragment_26.musicxml,3.206896551724138
output/sonata01-4_fragment_7.musicxml,2.46875
output/sonata21-1_fragment_26.musicxml,2.96875
output/sonata23-3_fragment_40.musicxml,4.0
output/sonata25-3_fragment_26.musicxml,3.4
output/sonata29-2_fragment_14.musicxml,2.396358543417367
output/sonata02-1_fragment_78.musicxml,3.222222222222223
output/sonata29-1_fragment_43.musicxml,1.637955182072829
output/sonata14-1_fragment_14.musicxml,1.515476190476191
output/sonata22-1_fragment_5.musicxml,1.579185520361991
output/sonata30-3_fragment_3.musicxml,1.731398064731398
output/sonata07-1_fragment_68.musicxml,1.875
output/sonata17-1_fragment_19.musicxml,1.578525641025641
output/sonata10-1_fragment_25.musicxml,2.590909090909091
output/sonata02-4_fragment_32.musicxml,2.761904761904762
output/sonata07-1_fragment_6.musicxml,1.5
output/sonata15-1_fragment_83.musicxml,1.5416666666666665
output/sonata06-1_fragment_35.musicxml,2.543956043956044
output/sonata10-1_fragment_5.musicxml,4.199999999999999
output/sonata01-2_fragment_8.musicxml,1.8222222222222215
output/sonata29-4_fragment_18.musicxml,3.516908212560386
output/sonata09-2_fragment_3.musicxml,0.8795454545454545
output/sonata27-2_fragment_63.musicxml,3.4716981132075473
output/sonata01-3_fragment_14.musicxml,1.3492063492063493
output/sonata28-1_fragment_24.musicxml,1.9261777561923266
output/sonata32-1_fragment_19.musicxml,1.3867469879518073
output/sonata02-4_fragment_23.musicxml,2.2034482758620686
output/sonata08-3_fragment_51.musicxml,0.8454545454545455
output/sonata29-1_fragment_61.musicxml,1.1408811475409837
output/sonata03-4_fragment_0.musicxml,2.8316326530612246
output/sonata23-1_fragment_8.musicxml,2.6765922249793217
output/sonata30-1_fragment_7.musicxml,3.0
output/sonata29-1_fragment_31.musicxml,1.0
output/sonata31-3_fragment_5.musicxml,5.232767232767235
output/sonata10-3_fragment_32.musicxml,2.3636363636363633
output/sonata09-2_fragment_25.musicxml,0.9018567639257296
output/sonata10-3_fragment_0.musicxml,1.9666666666666668
output/sonata31-3_fragment_0.musicxml,2.9767339218158897
output/sonata02-2_fragment_14.musicxml,2.8957209636821286
output/sonata13-4_fragment_25.musicxml,3.653916211293261
output/sonata23-1_fragment_11.musicxml,1.0208333333333335
output/sonata03-4_fragment_76.musicxml,2.4642857142857144
output/sonata17-3_fragment_17.musicxml,3.0
output/sonata16-1_fragment_61.musicxml,3.9166666666666665
output/sonata03-1_fragment_43.musicxml,2.6995253742241694
output/sonata03-1_fragment_17.musicxml,2.2924731182795703
output/sonata29-4_fragment_39.musicxml,2.1272727272727274
output/sonata06-2_fragment_25.musicxml,1.9909090909090907
output/sonata26-3_fragment_37.musicxml,2.3488966123696664
output/sonata23-1_fragment_14.musicxml,3.2222222222222223
output/sonata28-2_fragment_20.musicxml,1.3571428571428572
output/sonata27-2_fragment_54.musicxml,2.625
output/sonata30-1_fragment_5.musicxml,2.1005434782608696
output/sonata07-1_fragment_74.musicxml,0.4375
output/sonata05-1_fragment_8.musicxml,0.6515151515151515
